FLUSHSTAGES entries=1 bytes=126 enc_ms=0.5 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=2.0 lz4=false
FLUSHSTAGES entries=363520 bytes=80398851 enc_ms=310.7 lz4_ms=152.9 bloom_ms=54.3 crc_ms=21.7 write_ms=63.3 lz4=true
FLUSHSTAGES entries=355 bytes=3689 enc_ms=7.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=272384 bytes=60241552 enc_ms=202.1 lz4_ms=98.1 bloom_ms=62.8 crc_ms=24.9 write_ms=50.5 lz4=true
FLUSHSTAGES entries=266 bytes=2796 enc_ms=10.9 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=273408 bytes=60467893 enc_ms=190.4 lz4_ms=83.5 bloom_ms=39.4 crc_ms=15.9 write_ms=45.0 lz4=true
FLUSHSTAGES entries=267 bytes=2806 enc_ms=5.5 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=272384 bytes=60241981 enc_ms=258.8 lz4_ms=134.0 bloom_ms=40.2 crc_ms=16.7 write_ms=41.5 lz4=true
FLUSHSTAGES entries=266 bytes=2795 enc_ms=4.8 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=210.9 lz4=false
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.4 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=2.0 lz4=false
FLUSHSTAGES entries=299008 bytes=66131512 enc_ms=197.1 lz4_ms=89.1 bloom_ms=38.9 crc_ms=16.2 write_ms=43.6 lz4=true
FLUSHSTAGES entries=292 bytes=3056 enc_ms=5.8 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=274432 bytes=60694845 enc_ms=202.6 lz4_ms=92.0 bloom_ms=35.6 crc_ms=14.5 write_ms=36.8 lz4=true
FLUSHSTAGES entries=268 bytes=2815 enc_ms=5.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=274432 bytes=60694969 enc_ms=245.6 lz4_ms=119.2 bloom_ms=40.6 crc_ms=16.6 write_ms=42.4 lz4=true
